PassengerId,Survived
1175,0.59906185
1176,0.98239946
1177,0.12417611
1178,0.18788461
1179,0.32229763
1180,0.40543354
1181,0.14488603
1182,0.32850462
1183,0.4990595
1184,0.14488603
1185,0.53179514
1186,0.12417611
1187,0.14778358
1188,1.0402037
1189,0.07899564
1190,0.2761151
1191,0.13961346
1192,0.15039693
1193,0.38071558
1194,0.17609856
1195,0.15433776
1196,0.46529692
1197,0.9689187
1198,0.41118887
1199,1.1289053
1200,0.2129158
1201,0.57551324
1202,0.22074525
1203,0.16239212
1204,0.14488603
1205,0.36850208
1206,1.2395346
1207,0.48323387
1208,0.19964187
1209,0.27671102
1210,0.1647291
1211,0.13791336
1212,0.16821793
1213,0.41471446
1214,0.51550543
1215,0.26373455
1216,0.5850482
1217,0.15813121
1218,0.8165943
1219,0.27678388
1220,0.15839852
1221,0.22170644
1222,1.0669074
1223,0.28775346
1224,0.14488603
1225,0.7067213
1226,0.14488603
1227,0.44762987
1228,0.22805052
1229,0.1281745
1230,0.20150672
1231,0.09394373
1232,0.29062828
1233,0.15039693
1234,0.19808441
1235,1.3062893
1236,0.093463026
1237,0.5516504
1238,0.22414085
1239,0.70456564
1240,0.20575564
1241,0.506783
1242,1.3992113
1243,0.22894892
1244,0.24634087
1245,0.10935714
1246,1.3827806
1247,0.48107725
1248,0.92859656
1249,0.14488603
1250,0.14488603
1251,0.67727184
1252,0.014771432
1253,0.737396
1254,0.98510027
1255,0.14488603
1256,1.3035644
1257,0.74138105
1258,0.10728245
1259,0.55156314
1260,0.997427
1261,0.24014702
1262,0.16617551
1263,1.1060395
1264,0.29754105
1265,0.16745195
1266,0.78697145
1267,0.6067546
1268,0.26944178
1269,0.25550938
1270,0.32535514
1271,0.17192201
1272,0.14488603
1273,0.14778358
1274,0.64374065
1275,0.6275818
1276,0.21975847
1277,0.45678914
1278,0.20282927
1279,0.12064464
1280,0.16724408
1281,0.20993423
1282,0.42067593
1283,1.4774321
1284,0.24474691
1285,0.14120257
1286,0.057570286
1287,1.160441
1288,0.15433776
1289,1.0131457
1290,0.18670797
1291,0.1529799
1292,0.88060045
1293,0.12038097
1294,0.7566993
1295,0.40079552
1296,0.34772792
1297,0.5643244
1298,0.18019451
1299,0.2743581
1300,0.46529692
1301,0.75705326
1302,0.41810054
1303,1.2597219
1304,0.45965415
1305,0.14488603
1306,1.442457
1307,0.13534886
1308,0.144886
1309,0.081519276
